roundID,score,movesExec,movesConsid,runtime
812,29,263,349,0.000773833
813,28,211,323,0.000725625
814,19,133,168,0.000376416
815,36,367,540,0.00137279
816,21,178,237,0.000514917
817,29,224,312,0.000862875
818,28,229,326,0.000726083
819,40,392,587,0.00145492
820,30,263,431,0.000864625
821,34,328,482,0.00110408
822,43,433,629,0.00151321
823,22,228,380,0.00064725
824,41,499,884,0.00205542
825,52,605,1004,0.00252021
826,30,299,487,0.000982417
827,33,292,367,0.000882375
828,25,183,224,0.000611917
829,21,166,221,0.000504792
830,33,261,366,0.000880959
831,41,443,725,0.00171579
832,16,126,173,0.000349708
833,30,323,540,0.00108779
834,29,281,424,0.000866792
835,19,157,237,0.000434625
836,17,168,206,0.000479708
837,22,198,325,0.000573375
838,33,315,513,0.00103008
839,33,289,489,0.000973875
840,30,377,798,0.00113571
841,34,359,566,0.00108725
842,29,290,480,0.000952125
843,35,300,429,0.000965542
844,16,103,159,0.000339042
845,38,483,832,0.00157279
846,19,156,199,0.000468042
847,33,266,381,0.000856625
848,27,267,420,0.000879333
849,39,353,548,0.00122779
850,20,158,252,0.000520209
851,27,251,346,0.000768792
852,33,322,476,0.00102879
853,18,157,222,0.0004575
854,31,269,473,0.00094025
855,23,299,563,0.000831542
856,41,423,691,0.00151325
857,39,305,465,0.00109767
858,14,126,157,0.000352833
859,43,483,798,0.00188379
860,36,339,568,0.00118546
861,41,429,667,0.00167946
862,35,336,535,0.00115692
863,27,250,359,0.000730125
864,19,182,249,0.000535833
865,34,326,518,0.00129704
866,45,588,1108,0.00217942
867,19,163,269,0.0004455
868,24,207,347,0.000763208
869,39,471,859,0.00173533
870,44,433,676,0.00149625
871,47,639,1195,0.00254483
872,24,242,417,0.000719458
873,32,326,475,0.0010475
874,18,127,189,0.0004045
875,36,374,624,0.00139742
876,39,285,433,0.0011005
877,16,117,173,0.000324541
878,30,267,389,0.000793875
879,40,367,518,0.00129538
880,28,257,345,0.000795208
881,34,298,433,0.0010985
882,38,395,732,0.00144317
883,17,126,193,0.000368041
884,32,330,490,0.00112621
885,34,379,660,0.00130412
886,21,201,317,0.0005645
887,13,75,110,0.00022875
888,26,224,320,0.000772459
889,37,385,625,0.00124246
890,28,229,369,0.000703166
891,26,206,314,0.00062575
892,57,755,1304,0.00286258
893,34,305,446,0.000935666
894,39,478,781,0.00179125
895,42,501,783,0.00177383
896,29,243,329,0.000702666
897,22,197,296,0.000588416
898,20,192,293,0.000551458
899,20,166,246,0.00052425
900,19,148,212,0.000496708
901,19,152,198,0.000395958
902,27,223,325,0.0007485
903,40,426,634,0.00148283
904,40,407,607,0.001497
905,23,192,238,0.000570959
906,29,254,389,0.000861
907,18,159,235,0.000424833
908,27,249,361,0.000772917
909,30,340,527,0.00112067
910,31,296,447,0.000947708
911,34,330,424,0.00107575
912,22,173,244,0.000527042
913,22,177,222,0.000583375
914,22,195,257,0.000581584
915,33,311,466,0.00108408
916,31,315,444,0.00128983
917,30,259,360,0.000830959
918,36,273,377,0.000967416
919,36,436,791,0.00159238
920,30,265,393,0.000799833
921,38,402,600,0.00133075
922,23,239,447,0.000717291
923,26,246,377,0.000766083
924,44,460,703,0.00160025
925,27,277,427,0.000873042
926,37,319,522,0.00127337
927,40,362,481,0.00139446
928,35,306,485,0.00113575
929,37,363,604,0.00132221
930,31,349,571,0.00117888
931,33,346,564,0.00107033
932,28,291,417,0.000934875
933,21,172,208,0.000518875
934,20,137,171,0.000429292
935,18,155,241,0.00043425
936,32,312,454,0.00113204
937,42,398,640,0.00132687
938,23,205,267,0.000591625
939,27,228,298,0.000700667
940,34,327,494,0.00115842
941,22,169,257,0.000515458
